WARD,month,permits
1,2017-08-01,16
1,2017-09-01,16
1,2017-10-01,15
1,2017-11-01,12
1,2017-12-01,9
1,2018-01-01,7
1,2018-02-01,12
1,2018-03-01,14
1,2018-04-01,6
1,2018-05-01,12
1,2018-06-01,7
1,2018-07-01,12
1,2018-08-01,9
1,2018-09-01,15
1,2018-10-01,8
1,2018-11-01,10
1,2018-12-01,4
1,2019-01-01,4
1,2019-02-01,6
1,2019-03-01,9
1,2019-04-01,5
1,2019-05-01,13
1,2019-06-01,7
1,2019-07-01,9
1,2019-08-01,4
1,2019-09-01,6
1,2019-10-01,9
1,2019-11-01,10
1,2019-12-01,1
1,2020-01-01,5
1,2020-02-01,1
1,2020-03-01,1
1,2020-04-01,5
1,2020-05-01,4
1,2020-06-01,5
1,2020-07-01,6
1,2020-08-01,7
1,2020-09-01,8
1,2020-10-01,8
1,2020-11-01,3
1,2020-12-01,4
1,2021-01-01,6
1,2021-02-01,5
1,2021-03-01,3
1,2021-04-01,5
2,2006-01-01,0
2,2006-02-01,0
2,2006-03-01,0
2,2006-04-01,0
2,2006-05-01,0
2,2006-06-01,0
2,2006-07-01,0
2,2006-08-01,0
2,2006-09-01,0
2,2006-10-01,0
2,2006-11-01,0
2,2006-12-01,0
2,2007-01-01,0
2,2007-02-01,0
2,2007-03-01,0
2,2007-04-01,0
2,2007-05-01,0
2,2007-06-01,0
2,2007-07-01,0
2,2007-08-01,0
2,2007-09-01,0
2,2007-10-01,0
2,2007-11-01,0
2,2007-12-01,1
2,2008-01-01,2
2,2008-02-01,0
2,2008-03-01,1
2,2008-04-01,5
2,2008-05-01,3
2,2008-06-01,10
2,2008-07-01,11
2,2008-08-01,10
2,2008-09-01,6
2,2008-10-01,9
2,2008-11-01,7
2,2008-12-01,4
2,2009-01-01,1
2,2009-02-01,5
2,2009-03-01,3
2,2009-04-01,0
2,2009-05-01,7
2,2009-06-01,24
2,2009-07-01,7
2,2009-08-01,2
2,2009-09-01,16
2,2009-10-01,1
2,2009-11-01,3
2,2009-12-01,2
2,2010-01-01,1
2,2010-02-01,1
2,2010-03-01,0
2,2010-04-01,2
2,2010-05-01,24
2,2010-06-01,16
2,2010-07-01,6
2,2010-08-01,3
2,2010-09-01,6
2,2010-10-01,0
2,2010-11-01,1
2,2010-12-01,0
2,2011-01-01,2
2,2011-02-01,0
2,2011-03-01,0
2,2011-04-01,1
2,2011-05-01,4
2,2011-06-01,3
2,2011-07-01,4
2,2011-08-01,5
2,2011-09-01,4
2,2011-10-01,2
2,2011-11-01,4
2,2011-12-01,3
2,2012-01-01,1
2,2012-02-01,2
2,2012-03-01,1
2,2012-04-01,6
2,2012-05-01,7
2,2012-06-01,6
2,2012-07-01,5
2,2012-08-01,8
2,2012-09-01,4
2,2012-10-01,6
2,2012-11-01,2
2,2012-12-01,2
2,2013-01-01,1
2,2013-02-01,5
2,2013-03-01,5
2,2013-04-01,4
2,2013-05-01,17
2,2013-06-01,8
2,2013-07-01,5
2,2013-08-01,8
2,2013-09-01,8
2,2013-10-01,5
2,2013-11-01,2
2,2013-12-01,7
2,2014-01-01,10
2,2014-02-01,5
2,2014-03-01,6
2,2014-04-01,10
2,2014-05-01,13
2,2014-06-01,12
2,2014-07-01,9
2,2014-08-01,11
2,2014-09-01,12
2,2014-10-01,10
2,2014-11-01,5
2,2014-12-01,4
2,2015-01-01,2
2,2015-02-01,3
2,2015-03-01,7
2,2015-04-01,16
2,2015-05-01,16
2,2015-06-01,6
2,2015-07-01,8
2,2015-08-01,12
2,2015-09-01,4
2,2015-10-01,7
2,2015-11-01,7
2,2015-12-01,6
2,2016-01-01,4
2,2016-02-01,4
2,2016-03-01,3
2,2016-04-01,4
2,2016-05-01,12
2,2016-06-01,5
2,2016-07-01,4
2,2016-08-01,2
2,2016-09-01,7
2,2016-10-01,4
2,2016-11-01,8
2,2016-12-01,7
2,2017-01-01,3
2,2017-02-01,7
2,2017-03-01,1
2,2017-04-01,5
2,2017-05-01,5
2,2017-06-01,6
2,2017-07-01,4
2,2017-08-01,12
2,2017-09-01,3
2,2017-10-01,2
2,2017-11-01,3
2,2017-12-01,5
2,2018-01-01,1
2,2018-02-01,1
2,2018-03-01,6
2,2018-04-01,9
2,2018-05-01,8
2,2018-06-01,3
2,2018-07-01,14
2,2018-08-01,13
2,2018-09-01,8
2,2018-10-01,4
2,2018-11-01,8
2,2018-12-01,6
2,2019-01-01,6
2,2019-02-01,1
2,2019-03-01,3
2,2019-04-01,2
2,2019-05-01,5
2,2019-06-01,3
2,2019-07-01,4
2,2019-08-01,5
2,2019-09-01,6
2,2019-10-01,7
2,2019-11-01,3
2,2019-12-01,4
2,2020-01-01,1
2,2020-02-01,3
2,2020-03-01,3
2,2020-04-01,3
2,2020-05-01,2
2,2020-06-01,2
2,2020-07-01,0
2,2020-08-01,4
2,2020-09-01,3
2,2020-10-01,3
2,2020-11-01,1
2,2020-12-01,1
2,2021-01-01,3
2,2021-02-01,2
2,2021-03-01,4
2,2021-04-01,1
3,2006-01-01,0
3,2006-02-01,0
3,2006-03-01,0
3,2006-04-01,0
3,2006-05-01,0
3,2006-06-01,0
3,2006-07-01,0
3,2006-08-01,0
3,2006-09-01,0
3,2006-10-01,0
3,2006-11-01,0
3,2006-12-01,0
3,2007-01-01,0
3,2007-02-01,0
3,2007-03-01,0
3,2007-04-01,0
3,2007-05-01,0
3,2007-06-01,0
3,2007-07-01,0
3,2007-08-01,0
3,2007-09-01,0
3,2007-10-01,0
3,2007-11-01,0
3,2007-12-01,20
3,2008-01-01,0
3,2008-02-01,1
3,2008-03-01,2
3,2008-04-01,7
3,2008-05-01,0
3,2008-06-01,0
3,2008-07-01,2
3,2008-08-01,2
3,2008-09-01,1
3,2008-10-01,3
3,2008-11-01,1
3,2008-12-01,1
3,2009-01-01,2
3,2009-02-01,1
3,2009-03-01,0
3,2009-04-01,1
3,2009-05-01,0
3,2009-06-01,7
3,2009-07-01,19
3,2009-08-01,1
3,2009-09-01,1
3,2009-10-01,2
3,2009-11-01,0
3,2009-12-01,0
3,2010-01-01,1
3,2010-02-01,4
3,2010-03-01,0
3,2010-04-01,1
3,2010-05-01,1
3,2010-06-01,3
3,2010-07-01,1
3,2010-08-01,0
3,2010-09-01,1
3,2010-10-01,1
3,2010-11-01,1
3,2010-12-01,0
3,2011-01-01,0
3,2011-02-01,0
3,2011-03-01,0
3,2011-04-01,1
3,2011-05-01,0
3,2011-06-01,8
3,2011-07-01,1
3,2011-08-01,0
3,2011-09-01,1
3,2011-10-01,0
3,2011-11-01,0
3,2011-12-01,1
3,2012-01-01,0
3,2012-02-01,0
3,2012-03-01,2
3,2012-04-01,0
3,2012-05-01,1
3,2012-06-01,0
3,2012-07-01,1
3,2012-08-01,1
3,2012-09-01,0
3,2012-10-01,1
3,2012-11-01,0
3,2012-12-01,0
3,2013-01-01,5
3,2013-02-01,1
3,2013-03-01,4
3,2013-04-01,3
3,2013-05-01,7
3,2013-06-01,2
3,2013-07-01,0
3,2013-08-01,1
3,2013-09-01,4
3,2013-10-01,4
3,2013-11-01,1
3,2013-12-01,0
3,2014-01-01,0
3,2014-02-01,14
3,2014-03-01,2
3,2014-04-01,4
3,2014-05-01,1
3,2014-06-01,7
3,2014-07-01,2
3,2014-08-01,0
3,2014-09-01,2
3,2014-10-01,1
3,2014-11-01,1
3,2014-12-01,1
3,2015-01-01,1
3,2015-02-01,3
3,2015-03-01,2
3,2015-04-01,2
3,2015-05-01,2
3,2015-06-01,0
3,2015-07-01,2
3,2015-08-01,2
3,2015-09-01,6
3,2015-10-01,3
3,2015-11-01,2
3,2015-12-01,3
3,2016-01-01,1
3,2016-02-01,8
3,2016-03-01,14
3,2016-04-01,0
3,2016-05-01,6
3,2016-06-01,5
3,2016-07-01,2
3,2016-08-01,4
3,2016-09-01,3
3,2016-10-01,8
3,2016-11-01,5
3,2016-12-01,6
3,2017-01-01,4
3,2017-02-01,6
3,2017-03-01,4
3,2017-04-01,5
3,2017-05-01,6
3,2017-06-01,9
3,2017-07-01,5
3,2017-08-01,10
3,2017-09-01,6
3,2017-10-01,2
3,2017-11-01,3
3,2017-12-01,5
3,2018-01-01,2
3,2018-02-01,4
3,2018-03-01,11
3,2018-04-01,4
3,2018-05-01,10
3,2018-06-01,7
3,2018-07-01,10
3,2018-08-01,10
3,2018-09-01,5
3,2018-10-01,5
3,2018-11-01,4
3,2018-12-01,1
3,2019-01-01,4
3,2019-02-01,2
3,2019-03-01,2
3,2019-04-01,8
3,2019-05-01,12
3,2019-06-01,6
3,2019-07-01,4
3,2019-08-01,7
3,2019-09-01,7
3,2019-10-01,6
3,2019-11-01,5
3,2019-12-01,3
3,2020-01-01,1
3,2020-02-01,2
3,2020-03-01,0
3,2020-04-01,4
3,2020-05-01,4
3,2020-06-01,2
3,2020-07-01,3
3,2020-08-01,4
3,2020-09-01,3
3,2020-10-01,6
3,2020-11-01,3
3,2020-12-01,3
3,2021-01-01,4
3,2021-02-01,6
3,2021-03-01,2
3,2021-04-01,2
4,2006-01-01,0
4,2006-02-01,0
4,2006-03-01,0
4,2006-04-01,0
4,2006-05-01,0
4,2006-06-01,0
4,2006-07-01,0
4,2006-08-01,0
4,2006-09-01,0
4,2006-10-01,0
4,2006-11-01,0
4,2006-12-01,0
4,2007-01-01,0
4,2007-02-01,0
4,2007-03-01,0
4,2007-04-01,0
4,2007-05-01,0
4,2007-06-01,0
4,2007-07-01,0
4,2007-08-01,1
4,2007-09-01,0
4,2007-10-01,0
4,2007-11-01,0
4,2007-12-01,0
4,2008-01-01,0
4,2008-02-01,0
4,2008-03-01,0
4,2008-04-01,1
4,2008-05-01,1
4,2008-06-01,2
4,2008-07-01,2
4,2008-08-01,3
4,2008-09-01,3
4,2008-10-01,0
4,2008-11-01,1
4,2008-12-01,2
4,2009-01-01,1
4,2009-02-01,0
4,2009-03-01,7
4,2009-04-01,0
4,2009-05-01,0
4,2009-06-01,0
4,2009-07-01,0
4,2009-08-01,2
4,2009-09-01,1
4,2009-10-01,1
4,2009-11-01,1
4,2009-12-01,0
4,2010-01-01,1
4,2010-02-01,0
4,2010-03-01,1
4,2010-04-01,0
4,2010-05-01,0
4,2010-06-01,2
4,2010-07-01,2
4,2010-08-01,1
4,2010-09-01,2
4,2010-10-01,1
4,2010-11-01,0
4,2010-12-01,0
4,2011-01-01,1
4,2011-02-01,0
4,2011-03-01,2
4,2011-04-01,1
4,2011-05-01,0
4,2011-06-01,3
4,2011-07-01,0
4,2011-08-01,1
4,2011-09-01,2
4,2011-10-01,0
4,2011-11-01,0
4,2011-12-01,3
4,2012-01-01,0
4,2012-02-01,0
4,2012-03-01,1
4,2012-04-01,0
4,2012-05-01,5
4,2012-06-01,14
4,2012-07-01,2
4,2012-08-01,2
4,2012-09-01,0
4,2012-10-01,7
4,2012-11-01,2
4,2012-12-01,0
4,2013-01-01,0
4,2013-02-01,5
4,2013-03-01,1
4,2013-04-01,0
4,2013-05-01,0
4,2013-06-01,2
4,2013-07-01,0
4,2013-08-01,0
4,2013-09-01,4
4,2013-10-01,1
4,2013-11-01,1
4,2013-12-01,2
4,2014-01-01,0
4,2014-02-01,2
4,2014-03-01,3
4,2014-04-01,1
4,2014-05-01,2
4,2014-06-01,8
4,2014-07-01,3
4,2014-08-01,6
4,2014-09-01,2
4,2014-10-01,8
4,2014-11-01,2
4,2014-12-01,0
4,2015-01-01,1
4,2015-02-01,4
4,2015-03-01,3
4,2015-04-01,2
4,2015-05-01,8
4,2015-06-01,10
4,2015-07-01,11
4,2015-08-01,6
4,2015-09-01,10
4,2015-10-01,9
4,2015-11-01,5
4,2015-12-01,5
4,2016-01-01,0
4,2016-02-01,1
4,2016-03-01,2
4,2016-04-01,5
4,2016-05-01,13
4,2016-06-01,19
4,2016-07-01,7
4,2016-08-01,14
4,2016-09-01,10
4,2016-10-01,11
4,2016-11-01,5
4,2016-12-01,4
4,2017-01-01,3
4,2017-02-01,3
4,2017-03-01,13
4,2017-04-01,10
4,2017-05-01,10
4,2017-06-01,13
4,2017-07-01,12
4,2017-08-01,7
4,2017-09-01,16
4,2017-10-01,9
4,2017-11-01,12
4,2017-12-01,0
4,2018-01-01,2
4,2018-02-01,1
4,2018-03-01,4
4,2018-04-01,11
4,2018-05-01,14
4,2018-06-01,20
4,2018-07-01,8
4,2018-08-01,18
4,2018-09-01,10
4,2018-10-01,7
4,2018-11-01,2
4,2018-12-01,5
4,2019-01-01,2
4,2019-02-01,5
4,2019-03-01,1
4,2019-04-01,10
4,2019-05-01,18
4,2019-06-01,16
4,2019-07-01,6
4,2019-08-01,11
4,2019-09-01,6
4,2019-10-01,11
4,2019-11-01,6
4,2019-12-01,1
4,2020-01-01,6
4,2020-02-01,2
4,2020-03-01,4
4,2020-04-01,5
4,2020-05-01,1
4,2020-06-01,0
4,2020-07-01,7
4,2020-08-01,4
4,2020-09-01,4
4,2020-10-01,1
4,2020-11-01,2
4,2020-12-01,3
4,2021-01-01,0
4,2021-02-01,0
4,2021-03-01,2
4,2021-04-01,3
5,2006-01-01,0
5,2006-02-01,0
5,2006-03-01,0
5,2006-04-01,0
5,2006-05-01,0
5,2006-06-01,0
5,2006-07-01,0
5,2006-08-01,0
5,2006-09-01,0
5,2006-10-01,0
5,2006-11-01,0
5,2006-12-01,0
5,2007-01-01,0
5,2007-02-01,0
5,2007-03-01,0
5,2007-04-01,0
5,2007-05-01,0
5,2007-06-01,0
5,2007-07-01,0
5,2007-08-01,0
5,2007-09-01,0
5,2007-10-01,0
5,2007-11-01,0
5,2007-12-01,0
5,2008-01-01,0
5,2008-02-01,0
5,2008-03-01,0
5,2008-04-01,5
5,2008-05-01,1
5,2008-06-01,4
5,2008-07-01,2
5,2008-08-01,0
5,2008-09-01,3
5,2008-10-01,4
5,2008-11-01,6
5,2008-12-01,0
5,2009-01-01,0
5,2009-02-01,1
5,2009-03-01,5
5,2009-04-01,2
5,2009-05-01,2
5,2009-06-01,5
5,2009-07-01,1
5,2009-08-01,1
5,2009-09-01,2
5,2009-10-01,5
5,2009-11-01,1
5,2009-12-01,4
5,2010-01-01,1
5,2010-02-01,0
5,2010-03-01,2
5,2010-04-01,0
5,2010-05-01,2
5,2010-06-01,7
5,2010-07-01,1
5,2010-08-01,1
5,2010-09-01,3
5,2010-10-01,4
5,2010-11-01,0
5,2010-12-01,0
5,2011-01-01,0
5,2011-02-01,0
5,2011-03-01,0
5,2011-04-01,0
5,2011-05-01,2
5,2011-06-01,1
5,2011-07-01,4
5,2011-08-01,3
5,2011-09-01,1
5,2011-10-01,3
5,2011-11-01,0
5,2011-12-01,0
5,2012-01-01,0
5,2012-02-01,1
5,2012-03-01,0
5,2012-04-01,1
5,2012-05-01,3
5,2012-06-01,2
5,2012-07-01,2
5,2012-08-01,1
5,2012-09-01,4
5,2012-10-01,5
5,2012-11-01,1
5,2012-12-01,0
5,2013-01-01,0
5,2013-02-01,1
5,2013-03-01,1
5,2013-04-01,0
5,2013-05-01,6
5,2013-06-01,2
5,2013-07-01,1
5,2013-08-01,2
5,2013-09-01,4
5,2013-10-01,3
5,2013-11-01,2
5,2013-12-01,1
5,2014-01-01,2
5,2014-02-01,1
5,2014-03-01,1
5,2014-04-01,2
5,2014-05-01,5
5,2014-06-01,7
5,2014-07-01,4
5,2014-08-01,5
5,2014-09-01,2
5,2014-10-01,5
5,2014-11-01,1
5,2014-12-01,1
5,2015-01-01,2
5,2015-02-01,1
5,2015-03-01,0
5,2015-04-01,1
5,2015-05-01,4
5,2015-06-01,8
5,2015-07-01,1
5,2015-08-01,4
5,2015-09-01,6
5,2015-10-01,4
5,2015-11-01,1
5,2015-12-01,1
5,2016-01-01,1
5,2016-02-01,1
5,2016-03-01,1
5,2016-04-01,1
5,2016-05-01,3
5,2016-06-01,5
5,2016-07-01,1
5,2016-08-01,1
5,2016-09-01,5
5,2016-10-01,5
5,2016-11-01,1
5,2016-12-01,1
5,2017-01-01,1
5,2017-02-01,2
5,2017-03-01,0
5,2017-04-01,2
5,2017-05-01,6
5,2017-06-01,4
5,2017-07-01,1
5,2017-08-01,3
5,2017-09-01,3
5,2017-10-01,3
5,2017-11-01,0
5,2017-12-01,0
5,2018-01-01,0
5,2018-02-01,0
5,2018-03-01,2
5,2018-04-01,2
5,2018-05-01,6
5,2018-06-01,2
5,2018-07-01,4
5,2018-08-01,1
5,2018-09-01,9
5,2018-10-01,1
5,2018-11-01,2
5,2018-12-01,2
5,2019-01-01,1
5,2019-02-01,1
5,2019-03-01,0
5,2019-04-01,2
5,2019-05-01,4
5,2019-06-01,4
5,2019-07-01,5
5,2019-08-01,5
5,2019-09-01,8
5,2019-10-01,1
5,2019-11-01,3
5,2019-12-01,0
5,2020-01-01,2
5,2020-02-01,2
5,2020-03-01,0
5,2020-04-01,0
5,2020-05-01,1
5,2020-06-01,3
5,2020-07-01,1
5,2020-08-01,7
5,2020-09-01,5
5,2020-10-01,2
5,2020-11-01,0
5,2020-12-01,2
5,2021-01-01,3
5,2021-02-01,0
5,2021-03-01,2
5,2021-04-01,0
6,2006-01-01,0
6,2006-02-01,0
6,2006-03-01,0
6,2006-04-01,0
6,2006-05-01,0
6,2006-06-01,0
6,2006-07-01,0
6,2006-08-01,0
6,2006-09-01,0
6,2006-10-01,0
6,2006-11-01,0
6,2006-12-01,0
6,2007-01-01,0
6,2007-02-01,0
6,2007-03-01,0
6,2007-04-01,0
6,2007-05-01,0
6,2007-06-01,0
6,2007-07-01,0
6,2007-08-01,0
6,2007-09-01,0
6,2007-10-01,0
6,2007-11-01,1
6,2007-12-01,0
6,2008-01-01,0
6,2008-02-01,5
6,2008-03-01,5
6,2008-04-01,4
6,2008-05-01,2
6,2008-06-01,1
6,2008-07-01,3
6,2008-08-01,1
6,2008-09-01,1
6,2008-10-01,1
6,2008-11-01,1
6,2008-12-01,0
6,2009-01-01,6
6,2009-02-01,2
6,2009-03-01,2
6,2009-04-01,0
6,2009-05-01,1
6,2009-06-01,3
6,2009-07-01,1
6,2009-08-01,1
6,2009-09-01,0
6,2009-10-01,0
6,2009-11-01,0
6,2009-12-01,0
6,2010-01-01,0
6,2010-02-01,0
6,2010-03-01,1
6,2010-04-01,0
6,2010-05-01,0
6,2010-06-01,0
6,2010-07-01,1
6,2010-08-01,0
6,2010-09-01,0
6,2010-10-01,1
6,2010-11-01,0
6,2010-12-01,0
6,2011-01-01,0
6,2011-02-01,1
6,2011-03-01,0
6,2011-04-01,2
6,2011-05-01,0
6,2011-06-01,1
6,2011-07-01,0
6,2011-08-01,2
6,2011-09-01,0
6,2011-10-01,2
6,2011-11-01,0
6,2011-12-01,1
6,2012-01-01,0
6,2012-02-01,1
6,2012-03-01,0
6,2012-04-01,0
6,2012-05-01,0
6,2012-06-01,1
6,2012-07-01,0
6,2012-08-01,0
6,2012-09-01,1
6,2012-10-01,0
6,2012-11-01,0
6,2012-12-01,0
6,2013-01-01,1
6,2013-02-01,0
6,2013-03-01,0
6,2013-04-01,0
6,2013-05-01,0
6,2013-06-01,0
6,2013-07-01,0
6,2013-08-01,0
6,2013-09-01,0
6,2013-10-01,0
6,2013-11-01,0
6,2013-12-01,0
6,2014-01-01,0
6,2014-02-01,0
6,2014-03-01,0
6,2014-04-01,0
6,2014-05-01,0
6,2014-06-01,0
6,2014-07-01,0
6,2014-08-01,0
6,2014-09-01,0
6,2014-10-01,2
6,2014-11-01,0
6,2014-12-01,0
6,2015-01-01,0
6,2015-02-01,0
6,2015-03-01,0
6,2015-04-01,0
6,2015-05-01,0
6,2015-06-01,0
6,2015-07-01,0
6,2015-08-01,0
6,2015-09-01,0
6,2015-10-01,1
6,2015-11-01,0
6,2015-12-01,0
6,2016-01-01,0
6,2016-02-01,0
6,2016-03-01,0
6,2016-04-01,0
6,2016-05-01,0
6,2016-06-01,0
6,2016-07-01,0
6,2016-08-01,0
6,2016-09-01,0
6,2016-10-01,0
6,2016-11-01,0
6,2016-12-01,1
6,2017-01-01,0
6,2017-02-01,0
6,2017-03-01,1
6,2017-04-01,0
6,2017-05-01,1
6,2017-06-01,1
6,2017-07-01,0
6,2017-08-01,1
6,2017-09-01,0
6,2017-10-01,2
6,2017-11-01,2
6,2017-12-01,0
6,2018-01-01,0
6,2018-02-01,1
6,2018-03-01,0
6,2018-04-01,1
6,2018-05-01,2
6,2018-06-01,1
6,2018-07-01,1
6,2018-08-01,1
6,2018-09-01,1
6,2018-10-01,0
6,2018-11-01,1
6,2018-12-01,1
6,2019-01-01,0
6,2019-02-01,1
6,2019-03-01,2
6,2019-04-01,0
6,2019-05-01,0
6,2019-06-01,0
6,2019-07-01,2
6,2019-08-01,2
6,2019-09-01,0
6,2019-10-01,0
6,2019-11-01,0
6,2019-12-01,0
6,2020-01-01,0
6,2020-02-01,0
6,2020-03-01,0
6,2020-04-01,0
6,2020-05-01,0
6,2020-06-01,1
6,2020-07-01,1
6,2020-08-01,2
6,2020-09-01,0
6,2020-10-01,0
6,2020-11-01,0
6,2020-12-01,0
6,2021-01-01,1
6,2021-02-01,0
6,2021-03-01,0
6,2021-04-01,0
7,2006-01-01,0
7,2006-02-01,0
7,2006-03-01,0
7,2006-04-01,0
7,2006-05-01,0
7,2006-06-01,0
7,2006-07-01,0
7,2006-08-01,0
7,2006-09-01,0
7,2006-10-01,0
7,2006-11-01,0
7,2006-12-01,0
7,2007-01-01,0
7,2007-02-01,0
7,2007-03-01,0
7,2007-04-01,0
7,2007-05-01,0
7,2007-06-01,0
7,2007-07-01,0
7,2007-08-01,0
7,2007-09-01,0
7,2007-10-01,0
7,2007-11-01,0
7,2007-12-01,0
7,2008-01-01,0
7,2008-02-01,0
7,2008-03-01,0
7,2008-04-01,1
7,2008-05-01,0
7,2008-06-01,0
7,2008-07-01,0
7,2008-08-01,2
7,2008-09-01,1
7,2008-10-01,1
7,2008-11-01,1
7,2008-12-01,1
7,2009-01-01,0
7,2009-02-01,0
7,2009-03-01,0
7,2009-04-01,0
7,2009-05-01,1
7,2009-06-01,1
7,2009-07-01,0
7,2009-08-01,0
7,2009-09-01,1
7,2009-10-01,1
7,2009-11-01,0
7,2009-12-01,1
7,2010-01-01,0
7,2010-02-01,2
7,2010-03-01,0
7,2010-04-01,0
7,2010-05-01,0
7,2010-06-01,0
7,2010-07-01,0
7,2010-08-01,0
7,2010-09-01,0
7,2010-10-01,0
7,2010-11-01,2
7,2010-12-01,0
7,2011-01-01,0
7,2011-02-01,0
7,2011-03-01,0
7,2011-04-01,0
7,2011-05-01,0
7,2011-06-01,0
7,2011-07-01,1
7,2011-08-01,0
7,2011-09-01,0
7,2011-10-01,0
7,2011-11-01,0
7,2011-12-01,0
7,2012-01-01,0
7,2012-02-01,0
7,2012-03-01,0
7,2012-04-01,0
7,2012-05-01,0
7,2012-06-01,1
7,2012-07-01,0
7,2012-08-01,0
7,2012-09-01,0
7,2012-10-01,0
7,2012-11-01,0
7,2012-12-01,0
7,2013-01-01,0
7,2013-02-01,0
7,2013-03-01,0
7,2013-04-01,1
7,2013-05-01,0
7,2013-06-01,0
7,2013-07-01,0
7,2013-08-01,0
7,2013-09-01,0
7,2013-10-01,1
7,2013-11-01,0
7,2013-12-01,0
7,2014-01-01,0
7,2014-02-01,0
7,2014-03-01,0
7,2014-04-01,0
7,2014-05-01,1
7,2014-06-01,0
7,2014-07-01,0
7,2014-08-01,0
7,2014-09-01,0
7,2014-10-01,1
7,2014-11-01,0
7,2014-12-01,0
7,2015-01-01,0
7,2015-02-01,0
7,2015-03-01,0
7,2015-04-01,0
7,2015-05-01,1
7,2015-06-01,0
7,2015-07-01,0
7,2015-08-01,1
7,2015-09-01,0
7,2015-10-01,0
7,2015-11-01,0
7,2015-12-01,0
7,2016-01-01,0
7,2016-02-01,0
7,2016-03-01,1
7,2016-04-01,1
7,2016-05-01,0
7,2016-06-01,0
7,2016-07-01,0
7,2016-08-01,0
7,2016-09-01,0
7,2016-10-01,0
7,2016-11-01,0
7,2016-12-01,0
7,2017-01-01,1
7,2017-02-01,1
7,2017-03-01,0
7,2017-04-01,1
7,2017-05-01,0
7,2017-06-01,0
7,2017-07-01,0
7,2017-08-01,0
7,2017-09-01,0
7,2017-10-01,0
7,2017-11-01,0
7,2017-12-01,0
7,2018-01-01,0
7,2018-02-01,0
7,2018-03-01,0
7,2018-04-01,0
7,2018-05-01,0
7,2018-06-01,0
7,2018-07-01,0
7,2018-08-01,0
7,2018-09-01,0
7,2018-10-01,0
7,2018-11-01,0
7,2018-12-01,0
7,2019-01-01,0
7,2019-02-01,0
7,2019-03-01,0
7,2019-04-01,0
7,2019-05-01,1
7,2019-06-01,0
7,2019-07-01,0
7,2019-08-01,0
7,2019-09-01,0
7,2019-10-01,0
7,2019-11-01,0
